"lab","n_removed","k_arms","g","ci_lb","ci_ub","pval","pct_change","baseline_g"
"Caen group (Bouet/Léger)",6,65,0.4396,0.2357,0.6435,8.70625957843939e-05,1.15,0.4346
"Frick lab (Lambert/Harburger)",10,61,0.4294,0.2168,0.6421,0.000199624480200784,-1.19,0.4346
